manual_keys,index_column,en,cs,fr,de,generated_keys,best_match_performed,best_match_found,en_copy,best_match_matchedTranslation,best_match_rating,best_match_keys,best_match_in_not_found
dict.questions.concentrated_02,104,"""I am obsessed with goals. If I don't set them, I am lost.""","""Jsem posedlý tím, abych měl nastavené cíle. Pokud je nemám, jsem ztracen.""","""Je suis obsédé par les objectifs. Si je ne les établis pas, je suis perdu.""","""Ich bin besessen von Zielen. Wenn ich sie mir nicht setze, bin ich verloren.",dict.questions.concentrated_02,,,"""I am obsessed with goals. If I don't set them, I am lost.""",,,,
dict.questions.lover_of_order_02,105,"""I need structure and don't like surprises."" Is that you?","""Potřebuji, aby věci měly řád a nemám rád překvapení."" Jste to Vy?","""J'ai besoin d'un cadre et je n'aime pas les surprises."" Est-ce vous?","""Ich brauche Struktur und mag keine Überraschungen."" Sind Sie das?",dict.questions.lover_of_order_02,,,"""I need structure and don't like surprises."" Is that you?",,,,
dict.questions.self_developer_02,106,"""Teach me, teach me. I need to learn it all."" Are you open to learn new things?","„Nauč mě, nauč mě. Musím se to všechno naučit.“ Jste otevřeni novým věcem?","""Enseignez-moi, enseignez-moi. J'ai besoin de tout apprendre."" Êtes-vous ouvert à apprendre de nouvelles choses?","""Unterrichte mich, unterrichte mich. Ich muss das alles lernen."" Sind Sie offen dafür, neue Dinge zu lernen?",dict.questions.self_developer_02,,,"""Teach me, teach me. I need to learn it all."" Are you open to learn new things?",,,,
dict.questions.positive_02,107,"""Even if it's cloudy I feel like sun is shining everywhere."" Are you an optimistic person?","""I když je zataženo, mám pocit, že slunce je všude kolem nás."" Jste rozený optimista?","""Même si le ciel est couvert, j'ai l'impression que le soleil brille partout. ""Êtes-vous une personne optimiste?","""Auch wenn es bewölkt ist, habe ich das Gefühl, dass überall die Sonne scheint."" Sind Sie ein optimistischer Mensch?",,Performed,Found,"""Even if it's cloudy I feel like sun is shining everywhere."" Are you an optimistic person?","""Even if it's cloudy I feel like sun is shining everywhere."" Are you a born optimist?",0.8951048951048951,dict.questions.positive_02,
dict.questions.responsible_02,108,"""I accept the consequences of my actions.""","""Přijímám důsledky svého jednání.""","""J'accepte les conséquences de mes actes.""","""Ich akzeptiere die Konsequenzen meines Handelns.""",dict.questions.responsible_02,,,"""I accept the consequences of my actions.""",,,,
dict.questions.self_believer_02,109,"""People might say different things at different times. Yet, I know what I'm capable of!"" Is that you?","""Lidé si mohou říkat různé věci. Já přesto vím, co ve mně je!"" Máte takovou víru v sebe?","""Les gens peuvent dire différentes choses à différents moments. Pourtant, je sais de quoi je suis capable!"" Est-ce vous?","""Die Leute mögen zu verschiedenen Zeiten unterschiedliche Dinge sagen. Aber ich weiß, wozu ich fähig bin!"" Sind Sie das?",dict.questions.self_believer_02,,,"""People might say different things at different times. Yet, I know what I'm capable of!"" Is that you?",,,,
dict.questions.solver_02,110,"""I strongly believe I can solve it!"" Is that your approach?","""Pevně ​​věřím, že to dokážu vyřešit!"" Je to Váš přístup?","""Je crois fermement que je peux le résoudre!"" Est-ce votre approche?","""Ich glaube fest daran, dass ich das Problem lösen kann!"" Ist das Ihr Ansatz?",dict.questions.solver_02,,,"""I strongly believe I can solve it!"" Is that your approach?",,,,
dict.questions.strategist_02,111,"""I check the patterns, see the issues and then take action. Yes, I'm a born Strategist!""","""Zjistím o co jde, identifikuji problémy a pak jednám. Ano, jsem rozený stratég!""","""Je vérifie les schémas, identifie les problèmes et je prends des mesures. Oui, je suis un stratège né!""","""Ich prüfe die Muster, sehe die Probleme und ergreife dann Maßnahmen. Ja, ich bin der geborene Stratege!""",dict.questions.strategist_02,,,"""I check the patterns, see the issues and then take action. Yes, I'm a born Strategist!""",,,,
dict.questions.intellectual_02,112,"""Thinking doesn't bother me. Actually it's something I love doing.""","„Myšlení mě neobtěžuje. Vlastně je to něco, co dělám rád.“","""Réfléchir ne me dérange pas. C'est quelque chose que j'aime faire en réalité.""","""Das Denken macht mir nichts aus. Es ist es etwas, das ich gerne tue.""",dict.questions.intellectual_02,,,"""Thinking doesn't bother me. Actually it's something I love doing.""",,,,
dict.questions.initiator_03,113,"""I can't stand it when there's no action! I hate wasting time."" Is that you?","""Nemohu to vydržet, když se nic neděje! Nesnáším ztrátu času."" Jste to Vy?","""Je ne supporte pas quand il n'y a pas d'action! Je déteste perdre mon temps."" Est-ce vous?","""Ich kann es nicht ertragen, wenn nichts los ist! Ich hasse Zeitverschwendung."" Sind Sie das?",dict.questions.initiator_03,,,"""I can't stand it when there's no action! I hate wasting time."" Is that you?",,,,
dict.questions.flexible_03,114,"""No big deal. Frequent changes are not a problem for me."" Do you agree?",„O nic nejde. Časté změny pro mě nejsou problémem.“ Souhlasíte?,"""Ce n'est pas grave. De nombreux changements ne sont pas un souci pour moi."" Êtes-vous d'accord?","""Das ist keine große Sache. Häufige Wechsel sind für mich kein Problem."" Sind Sie einverstanden?",dict.questions.flexible_03,,,"""No big deal. Frequent changes are not a problem for me."" Do you agree?",,,,
dict.questions.analyser_03,115,"""I prefer facts rather than intuition.""","""Dávám přednost faktům před intuicí.""","""Je préfère les faits à l'intuition.""","""Ich ziehe Fakten der Intuition vor.""",dict.questions.analyser_03,,,"""I prefer facts rather than intuition.""",,,,
dict.questions.believer_03,116,"""I got your point, but whatever you say will not change my mind about my beliefs.""","""Chápu tě, ale cokoli řekneš, tak to mé přesvědčení nezmění."" Dokážete být ve své mysli takto nezdolní?","""Je comprends votre point de vue, mais tout ce que vous dites ne changera pas mes opinions.""","""Ich habe Sie verstanden, aber was immer Sie sagen, wird mich nicht von meinen Überzeugungen abbringen.""",dict.questions.believer_03,,,"""I got your point, but whatever you say will not change my mind about my beliefs.""",,,,
dict.questions.ideamaker_03,117,"""I love challenges where I can come up with new ideas!""","""Miluji výzvy, kde mohu přijít s novými nápady!""","""J'adore les défis que je peux affronter avec mes nouvelles idées!""","""Ich mag Herausforderungen, bei denen ich neue Ideen entwickeln kann!""",dict.questions.ideamaker_03,,,"""I love challenges where I can come up with new ideas!""",,,,
dict.questions.coach_03,118,"""I see huge potential in you."" Do you like to develop other people?","""No tak, je v tobě obrovský potenciál."" Rádi rozvíjíte jiné lidi?","""Je vois un énorme potentiel en toi."" Aimez-vous développer les aptitudes des autres?","""Ich sehe ein großes Potenzial in Ihnen."" Gefällt es Ihnen, andere Menschen zu fördern?",,Performed,Found,"""I see huge potential in you."" Do you like to develop other people?","""Come on, there's huge potential in you."" Do you like to develop other people?",0.8305084745762712,dict.questions.coach_03,
,119,"""Tell me your opinion. I hate beating around the bush!"" Is that you?",„Tak už mi řekni svůj názor. Nesnáším chodit kolem horké kaše!“ Máte to stejně?,"""Donnes-moi ton avis. Je déteste tourner autour du pot!"" Est-ce vous?","""Sagen Sie mir Ihre Meinung. Ich hasse es, um den heißen Brei herumzureden!"" Sind Sie das?",dict.questions.leader_03,,,"""Tell me your opinion. I hate beating around the bush!"" Is that you?",,,,
,120,"""My audience loves me and I love my audience.""","""Moje publikum mě miluje a já miluji své publikum.""","""Mon public m'aime et j'aime mon public.","""Mein Publikum liebt mich und ich liebe mein Publikum.""",dict.questions.communicator_03,,,"""My audience loves me and I love my audience.""",,,,
,121,"""I didn't come to just be here and watch, I came to win!""","""Nepřišel jsem se jen zúčastnit a podívat se. Přišel jsem vyhrát!""","""Je ne suis pas venu juste pour regarder, je suis venu pour gagner!""","""Ich bin nicht gekommen, um nur zuzuschauen, sondern um zu gewinnen!""",dict.questions.challenger_03,,,"""I didn't come to just be here and watch, I came to win!""",,,,
dict.questions.mediator_03,122,"""I just need to find alignment between everyone. I can keep the balance in the environment."" ","""Mám nutkání naladit lidi na stejnou vlnu. Daří se mi v mém okolí nastavovat rovnováhu.""","""J'ai besoin de mettre tout le monde d'accord. J'arrive à garder un équilibre dans mon entourage.""","""Ich muss nur eine Übereinstimmung zwischen allen finden. Ich kann das Gleichgewicht in der Umgebung halten.""",,Performed,Found,"""I just need to find alignment between everyone. I can keep the balance in the environment."" ","""I just need to find alignment between everyone. I can keep the balance in the environment.""",1,dict.questions.mediator_03,
,123,"""I have my feelings and emotions."" Do you feel it too?","""Mám své pocity a emoce."" Charakterizuje Vás to?","""J'ai mes sentiments et mes émotions."" Le ressentez-vous aussi?","""Ich habe meine Gefühle und Emotionen"". Fühlen Sie sie auch?",dict.questions.empathizer_03,,,"""I have my feelings and emotions."" Do you feel it too?",,,,
dict.questions.concentrated_03,124,"""Let's stay focused!"" Is it often you who needs to keep everyone on point?","""No tak, zůstaňte soustředěni!"" Jste to často Vy, kdo potřebuje udržet všechny na místě?","""Restons concentrés!"" Est-ce souvent vous qui avez besoin de garder tout le monde en place?","""Lasst uns konzentriert bleiben!"" Sind Sie oft derjenige, der alle bei der Stange halten muss?",,Performed,Found,"""Let's stay focused!"" Is it often you who needs to keep everyone on point?","""Come on, just stay focused!"" Is it you who often needs to keep everyone on point?",0.8253968253968254,dict.questions.concentrated_03,
,125,"""If the world around me is predictable, then I feel safe that all is under control.""","""Když je svět kolem mě předvídatelný, cítím,  že je vše pod kontrolou a jsem v bezpečí""","""Si le monde qui m'entoure est prévisible, alors je me sens en sécurité car tout est sous contrôle.""","""Wenn die Welt um mich herum vorhersehbar ist, dann fühle ich mich sicher, dass alles unter Kontrolle ist.",dict.questions.lover_of_order_03,,,"""If the world around me is predictable, then I feel safe that all is under control.""",,,,
dict.questions.self_developer_03,126,"""I am obsessed about exploring many interests and new paths."" ","""Jsem posedlý zkoumáním nových cest a různých možností.""","""Je suis obsédé par l'exploration de nouvelles idées et de nouvelles possibilités.""","""Ich bin besessen davon, viele Interessen und neue Wege zu erkunden.""",,Performed,Found,"""I am obsessed about exploring many interests and new paths."" ","""I am obsessed about exploring many interests and new paths.""",1,dict.questions.self_developer_03,
dict.questions.positive_03,127,"""I could sell my enthusiasm for the cause. Nothing can knock me down.""","""Svoje nadšení pro věc bych mohl prodávat. Mě jen tak nic nesrazí.""","""Je pourrais vendre mon enthousiasme pour la cause. Rien ne peut m'effondrer.""","""Ich könnte meine Begeisterung für die Sache verkaufen. Nichts kann mich umhauen.""",,Performed,Found,"""I could sell my enthusiasm for the cause. Nothing can knock me down.""","""I can sell enthusiasm. No cynic will drag me down.""",0.5454545454545454,dict.questions.positive_03,
,128,"""I take my commitments seriously.""","""Své závazky beru vážně.""","""Je prends mes engagements au sérieux.""","""Ich nehme meine Verpflichtungen ernst.""",dict.questions.responsible_03,,,"""I take my commitments seriously.""",,,,
,129,"""You may disagree, but you won't break me!"" Do you believe in yourself?","""Můžeš se mnou nesouhlasit, ale nezlomíš mě!"" Věříte takto v sebe?","""Vous pouvez être en désaccord, mais vous ne m'atteindrez pas!"" Croyez-vous en vous-même?","""Du magst anderer Meinung sein, aber du wirst mich nicht umstimmen!"" Glauben Sie an sich selbst?",dict.questions.self_believer_03,,,"""You may disagree, but you won't break me!"" Do you believe in yourself?",,,,
